bytes_sent,bytes_recv,duration,failed_auth,num_conns,hour,dst_port,protocol,country,encryption,hosts_affected,attack_type
4709,2647,26.3,2,7,4,SSH,UDP,Domestic,SSL,0,Normal
5123,3396,44.9,2,6,6,HTTP,TCP,Domestic,SSL,0,Normal
343,237,55.0,0,6,7,HTTPS,TCP,Domestic,TLS,0,Normal
956,128788,14.1,3,3,15,Other,TCP,Asia,None,30,Phishing
1442,7418,17.3,3,1,13,HTTP,TCP,Domestic,TLS,0,Phishing
1118,3396,12.8,0,9,2,HTTPS,TCP,Asia,TLS,0,Normal
3622,1699,82.9,1,7,13,HTTPS,TCP,Domestic,TLS,0,Normal
50601,35447,29.5,2,7,4,SSH,TCP,Other,TLS,17,Ransomware
2056,1216,1.5,4,8,19,RDP,TCP,Asia,TLS,0,Brute_Force
8169,34249,34.5,0,5,9,HTTP,TCP,Other,TLS,10,Phishing
773,2880,43.0,3,10,23,HTTP,TCP,Domestic,None,0,Normal
7254,1932,45.6,5,6,4,HTTPS,TCP,Domestic,None,29,Ransomware
1767,437,6.0,3,12,0,SSH,TCP,Domestic,SSL,0,Brute_Force
584,9204,23.2,1,9,16,HTTPS,TCP,Asia,SSL,0,Normal
3668,617,82.8,2,11,1,HTTPS,TCP,Domestic,SSL,0,Normal
8333,5940,15.6,2,3,10,SSH,ICMP,EU,TLS,0,Normal
2658,1475,5.6,2,13,9,SSH,TCP,Other,SSL,12,Brute_Force
4449,7930,113.4,3,7,19,SSH,TCP,Other,None,12,Ransomware
14075,60225,20.8,0,6,15,HTTP,UDP,EU,TLS,17,Phishing
15157,20,0.8,1,15,22,RDP,UDP,EU,None,39,DoS
1576,3365,31.3,2,9,4,HTTP,TCP,Domestic,SSL,0,Normal
15457,25561,13.5,1,6,10,HTTP,TCP,Domestic,SSL,11,Phishing
3035,21029,26.0,1,3,13,HTTPS,TCP,EU,SSL,13,Phishing
1868,2803,14.4,2,9,0,Other,UDP,EU,TLS,0,Normal
28929,351,0.3,0,20,1,Other,TCP,Asia,None,24,DoS
3471,750,17.1,2,12,7,HTTPS,TCP,Domestic,TLS,0,Normal
11155,168,7.2,3,21,7,RDP,UDP,EU,None,15,DoS
656,1102,11.8,1,8,5,HTTPS,UDP,EU,None,0,Normal
9240,5361,60.4,3,17,19,HTTP,TCP,Domestic,TLS,0,Normal
5415,533,0.7,1,8,7,HTTPS,UDP,Domestic,TLS,0,Normal
1321,5065,79.6,1,6,6,HTTPS,ICMP,EU,TLS,1,Normal
2132,1561,19.6,3,5,3,HTTP,UDP,Domestic,TLS,0,Normal
3115,1892,9.7,3,15,8,Other,TCP,Other,TLS,4,Brute_Force
298,39,0.4,3,14,2,RDP,TCP,Other,SSL,3,Brute_Force
16671,33815,437.8,2,2,9,HTTP,TCP,Asia,None,14,Ransomware
165,2253,72.6,2,4,1,HTTPS,TCP,Domestic,TLS,0,Normal
3571,3262,53.0,2,7,8,HTTP,TCP,Domestic,TLS,0,Normal
26837,180,16.5,2,12,12,SSH,ICMP,EU,None,34,DoS
2731,3362,95.0,2,5,4,HTTPS,TCP,EU,TLS,1,Normal
70406,580,108.1,2,6,0,RDP,UDP,Other,None,0,Ransomware
8215,27405,6.9,1,2,19,HTTPS,TCP,EU,TLS,36,Phishing
694,7397,105.0,0,8,6,RDP,TCP,Domestic,TLS,0,Normal
7274,27,0.5,1,14,15,Other,TCP,Domestic,None,0,Normal
3190,2318,38.0,0,7,19,HTTPS,TCP,Domestic,SSL,0,Normal
5669,7548,13.5,2,7,13,Other,UDP,Domestic,TLS,0,Normal
35,8960,15.3,2,10,0,HTTPS,TCP,Domestic,TLS,0,Normal
4681,6196,4.0,3,15,11,Other,UDP,EU,TLS,0,Normal
155,831,118.9,1,6,20,Other,TCP,Domestic,SSL,0,Normal
113,1453,2.8,3,19,16,HTTP,TCP,Domestic,None,24,DoS
7277,8637,15.5,1,9,3,Other,UDP,EU,TLS,0,Normal
16123,10872,43.3,5,6,12,RDP,TCP,Other,None,10,Ransomware
7337,1007,3.4,3,19,9,Other,UDP,Other,None,26,DoS
8916,105,2.2,2,20,8,HTTP,ICMP,Domestic,TLS,19,DoS
192,285,19.6,1,12,15,SSH,TCP,Asia,TLS,3,Brute_Force
46,2771,58.5,2,8,21,HTTPS,TCP,EU,TLS,0,Normal
4441,204,3.1,3,21,10,Other,UDP,Domestic,None,0,DoS
2207,133,65.2,3,7,6,Other,ICMP,Domestic,SSL,0,Normal
429,1875,9.2,1,12,18,RDP,TCP,Domestic,None,0,Normal
3893,5604,1.8,1,2,0,HTTPS,TCP,Domestic,SSL,0,Normal
8917,2055,29.5,0,4,14,HTTP,TCP,Other,TLS,4,Phishing
942,5470,66.8,4,3,22,RDP,TCP,Asia,TLS,0,Ransomware
394,982,3.4,2,19,15,RDP,TCP,Domestic,TLS,0,Brute_Force
195,3893,24.6,1,3,13,HTTP,TCP,Domestic,TLS,0,Normal
1160,1270,14.5,1,5,12,RDP,TCP,Asia,TLS,0,Normal
2001,2619,23.8,0,7,23,RDP,UDP,Domestic,TLS,0,Normal
5915,5188,9.5,2,5,15,Other,TCP,Domestic,SSL,0,Normal
14183,15793,38.5,0,4,10,HTTPS,TCP,Other,TLS,12,Phishing
8024,228,2.7,1,21,7,Other,UDP,EU,None,18,DoS
30623,13508,66.8,6,8,8,Other,TCP,Domestic,None,20,Ransomware
2145,2737,15.8,1,5,1,HTTP,TCP,Domestic,SSL,0,Normal
5973,2825,11.5,1,8,7,Other,TCP,EU,SSL,0,Normal
4106,5813,7.4,0,6,20,HTTPS,TCP,Domestic,None,0,Normal
1808,3812,6.6,0,2,17,HTTP,TCP,Domestic,TLS,0,Normal
3275,562,1.3,0,5,17,HTTP,ICMP,Domestic,SSL,0,Normal
102,3499,17.7,7,10,16,RDP,TCP,Asia,SSL,5,Brute_Force
125,364,14.8,3,8,18,Other,TCP,Domestic,SSL,0,Normal
1948,7721,13.4,1,8,0,RDP,TCP,EU,TLS,0,Normal
326,7969,4.0,0,8,3,HTTPS,TCP,Domestic,SSL,0,Normal
3025,4659,92.4,3,2,8,HTTP,TCP,EU,None,0,Normal
1825,90424,184.5,0,5,8,HTTP,TCP,EU,TLS,10,Phishing
7773,7820,14.2,1,8,11,HTTPS,TCP,Domestic,SSL,0,Normal
95,6671,38.8,1,7,18,HTTPS,TCP,Other,SSL,0,Normal
5363,1505,39.0,1,6,5,HTTP,UDP,Asia,TLS,0,Normal
1379,401,0.4,2,6,12,SSH,TCP,EU,SSL,0,Brute_Force
4656,12234,5.7,2,7,0,HTTPS,TCP,Domestic,TLS,0,Normal
1444,3599,32.5,2,3,14,SSH,TCP,Domestic,TLS,0,Normal
14849,22875,42.2,2,7,23,HTTPS,UDP,EU,SSL,28,Ransomware
52,2523,25.1,2,6,21,HTTPS,TCP,EU,SSL,0,Normal
2825,723,26.1,0,6,23,RDP,TCP,Domestic,None,0,Normal
3607,30125,70.8,1,5,3,HTTPS,TCP,EU,None,0,Normal
6555,3487,32.8,0,8,6,HTTPS,TCP,Domestic,TLS,0,Normal
479,14288,31.1,1,8,5,HTTP,TCP,EU,TLS,0,Normal
1261,2108,34.6,0,10,20,HTTPS,TCP,Domestic,TLS,0,Normal
1062,2337,23.3,1,5,19,HTTPS,TCP,Domestic,None,16,Phishing
4292,9675,18.4,0,10,2,SSH,ICMP,Domestic,TLS,0,Normal
5781,12233,32.1,2,7,19,HTTPS,TCP,Domestic,SSL,0,Normal
6177,10497,51.3,2,3,19,SSH,TCP,Domestic,TLS,5,Phishing
4131,5813,41.0,1,8,11,Other,TCP,EU,SSL,0,Normal
2273,42926,6.6,0,3,14,HTTPS,TCP,Other,None,10,Phishing
5626,616,1.2,4,17,6,HTTP,UDP,Asia,None,20,DoS
28181,296,3.7,0,20,16,HTTPS,TCP,Asia,None,31,DoS
1466,411,15.9,2,9,12,HTTP,TCP,Asia,SSL,8,Brute_Force
7694,354,12.1,3,13,20,HTTPS,UDP,Asia,None,19,DoS
185,9276,43.4,1,9,17,HTTPS,TCP,EU,TLS,0,Normal
10051,5354,34.2,1,5,8,Other,TCP,Domestic,TLS,0,Normal
165,110,13.6,3,14,13,RDP,TCP,Domestic,TLS,10,Brute_Force
129,3123,12.8,1,14,2,HTTP,UDP,Domestic,TLS,6,Brute_Force
454,1613,55.4,1,12,10,SSH,TCP,EU,SSL,5,Brute_Force
26462,394,529.6,2,10,14,RDP,TCP,Domestic,SSL,34,Ransomware
756,942,14.3,2,9,22,HTTPS,TCP,Domestic,TLS,0,Normal
190,804,55.3,1,7,5,Other,TCP,Domestic,TLS,0,Normal
8911,4859,1.4,3,5,9,HTTPS,UDP,Asia,None,41,Ransomware
29,261,5.4,3,5,12,RDP,UDP,Domestic,TLS,18,Ransomware
2801,27647,64.6,0,7,13,RDP,TCP,Domestic,None,8,Phishing
15162,11897,40.8,2,7,19,RDP,TCP,Asia,SSL,11,Ransomware
1693,1260,25.9,3,13,8,SSH,TCP,Other,None,9,Brute_Force
15177,260,7.1,0,13,8,Other,ICMP,Asia,None,38,DoS
3156,244,0.7,2,17,12,HTTP,TCP,EU,None,21,DoS
22182,15971,5.4,3,7,23,SSH,UDP,Other,None,28,Ransomware
3548,318,39.9,2,17,6,Other,UDP,Domestic,None,32,DoS
1521,7489,7.3,2,9,6,HTTPS,TCP,Domestic,None,0,Normal
9898,188,65.2,1,6,14,HTTP,TCP,EU,None,0,Normal
3471,981,7.8,3,14,5,SSH,TCP,EU,TLS,4,Brute_Force
819,7251,41.7,0,5,19,HTTPS,TCP,Other,TLS,13,Phishing
4210,8564,21.9,1,8,18,HTTP,TCP,EU,TLS,11,Phishing
2000,4989,91.4,0,4,7,HTTP,TCP,Other,TLS,0,Normal
7006,5317,13.4,1,7,22,SSH,TCP,Asia,None,0,Normal
848,158,3.2,1,24,10,Other,TCP,Asia,TLS,26,DoS
7789,257,8.0,1,16,19,HTTP,UDP,Other,None,39,DoS
22939,5139,368.2,3,5,2,HTTPS,TCP,Domestic,None,22,Ransomware
2939,10090,4.2,0,4,12,Other,ICMP,Domestic,TLS,0,Normal
841,1818,89.8,2,11,11,HTTP,TCP,Domestic,TLS,0,Normal
1408,1002,8.0,3,15,18,HTTPS,TCP,EU,TLS,9,DoS
214,2159,119.2,1,9,22,RDP,TCP,Domestic,TLS,0,Normal
399,584,42.9,2,10,3,HTTPS,TCP,Domestic,TLS,0,Normal
4450,1276,43.9,0,6,22,HTTP,TCP,Domestic,TLS,0,Normal
740,1503,49.9,3,11,13,SSH,TCP,Other,None,15,Ransomware
1095,9511,7.9,3,9,10,HTTP,TCP,Asia,SSL,0,Normal
6,8306,86.6,1,5,13,HTTP,UDP,Other,SSL,0,Normal
5303,343,10.2,1,22,2,Other,UDP,EU,None,30,DoS
7968,6277,10.6,3,10,0,HTTPS,TCP,Domestic,TLS,0,Normal
32977,9138,160.9,2,11,0,RDP,TCP,Domestic,SSL,16,Ransomware
700,572,77.7,0,10,17,HTTPS,TCP,Domestic,TLS,0,Normal
4852,11162,11.2,1,3,14,HTTP,TCP,EU,SSL,0,Normal
6129,445,4.0,3,15,16,HTTPS,TCP,EU,None,0,DoS
593,13266,23.9,1,6,13,RDP,TCP,Domestic,TLS,1,Normal
2294,114,25.2,3,11,13,Other,UDP,EU,SSL,0,DoS
1483,239,34.1,2,18,17,SSH,TCP,EU,TLS,10,Brute_Force
57536,4841,24.5,3,9,5,RDP,TCP,Asia,None,19,Ransomware
1918,10873,22.8,0,8,23,Other,TCP,Domestic,TLS,0,Normal
5233,638,17.9,3,11,11,HTTP,TCP,Domestic,None,0,Normal
8773,78,1.5,0,2,10,HTTPS,TCP,Other,SSL,0,Phishing
11142,1685,2.2,2,25,3,SSH,UDP,Domestic,None,9,DoS
11627,5520,37.7,4,6,7,HTTP,TCP,Asia,TLS,0,Normal
2265,3438,22.3,0,10,7,HTTP,TCP,Domestic,TLS,0,Normal
13595,137,3.7,3,13,19,SSH,ICMP,Domestic,SSL,17,DoS
6284,3988,460.0,1,3,7,HTTP,UDP,Other,SSL,9,Ransomware
26718,3631,19.9,3,7,5,RDP,TCP,Other,None,13,Ransomware
1746,6098,114.6,5,5,1,SSH,UDP,Domestic,None,29,Ransomware
4081,4152,45.9,0,8,7,SSH,TCP,Domestic,TLS,0,Normal
972,2676,1.4,3,10,19,HTTP,TCP,EU,TLS,0,Normal
882,9519,44.3,0,9,16,HTTPS,TCP,Domestic,TLS,0,Normal
32189,252,44.0,4,7,23,RDP,TCP,Domestic,None,36,Ransomware
1348,254,14.9,4,14,4,SSH,TCP,Other,SSL,7,Brute_Force
11649,30093,46.0,1,7,9,HTTPS,TCP,Domestic,None,0,Phishing
3165,9934,69.4,0,5,23,SSH,TCP,Domestic,SSL,0,Normal
12392,1631,28.7,2,9,19,RDP,UDP,Domestic,SSL,0,Normal
23,1266,35.1,0,6,4,HTTPS,TCP,Domestic,TLS,0,Normal
4398,343,1.9,0,16,6,Other,TCP,Asia,None,0,DoS
42749,3393,125.1,5,10,0,RDP,UDP,Asia,None,27,Ransomware
372,101,14.3,5,9,4,SSH,TCP,Asia,TLS,7,Brute_Force
29722,25252,419.7,3,5,14,RDP,ICMP,Asia,SSL,25,Ransomware
5728,8766,41.5,2,9,16,HTTPS,TCP,Domestic,TLS,0,Normal
10214,282,3.6,1,20,5,HTTP,UDP,EU,None,0,DoS
2770,389,3.1,5,17,17,RDP,TCP,EU,TLS,4,Brute_Force
4297,194,9.1,1,19,14,Other,TCP,EU,None,37,DoS
624,2997,22.5,3,11,16,HTTPS,TCP,EU,SSL,0,Normal
1152,1228,104.5,1,7,13,Other,TCP,Asia,TLS,1,Normal
294,295,86.3,2,7,16,RDP,TCP,Asia,SSL,0,Ransomware
5753,376,18.2,2,10,14,RDP,TCP,Domestic,None,3,Brute_Force
2911,1927,78.8,3,14,18,Other,TCP,EU,TLS,0,Normal
1998,405,2.3,4,16,10,SSH,TCP,Domestic,None,17,DoS
3298,3363,17.4,1,7,11,HTTP,TCP,EU,TLS,0,Normal
8827,5628,63.2,5,9,17,RDP,TCP,Other,SSL,18,Ransomware
2227,7785,46.1,0,7,12,HTTP,TCP,Domestic,SSL,0,Normal
1030,900,0.9,3,10,7,RDP,TCP,Domestic,TLS,2,Brute_Force
5688,1509,45.3,2,12,2,HTTPS,TCP,EU,SSL,0,Normal
4623,72293,30.0,2,4,12,HTTPS,TCP,EU,TLS,10,Phishing
3443,11262,70.3,0,9,14,RDP,TCP,Domestic,TLS,0,Normal
576,1251,4.6,1,5,9,RDP,TCP,Other,None,29,Ransomware
3826,3862,1.4,0,7,12,HTTPS,TCP,Domestic,SSL,0,Normal
6673,210,1.5,1,7,11,HTTPS,UDP,Domestic,SSL,0,Normal
898,2687,33.5,1,6,0,HTTPS,TCP,Domestic,TLS,0,Normal
940,28300,1.1,0,4,19,SSH,TCP,Other,None,18,Phishing
1905,56,7.3,1,23,13,HTTPS,UDP,Other,None,36,DoS
1430,1541,0.8,3,7,2,HTTP,TCP,Domestic,SSL,0,Normal
17152,65,23.1,2,15,1,HTTP,ICMP,Asia,None,23,DoS
199,1780,36.7,0,5,10,HTTPS,TCP,Domestic,TLS,0,Normal
1749,6505,37.8,1,7,3,HTTPS,UDP,Domestic,SSL,0,Normal
1518,101,139.3,1,10,17,HTTPS,UDP,Domestic,TLS,0,Normal
14,1921,6.7,3,5,9,SSH,TCP,Domestic,TLS,2,Normal
353,8604,13.3,1,10,8,RDP,TCP,Domestic,SSL,0,Normal
42338,8722,227.9,6,4,14,Other,TCP,Asia,None,31,Ransomware
2999,841,15.4,1,11,21,HTTP,TCP,Domestic,TLS,0,Normal
2134,34569,33.8,0,11,16,Other,TCP,EU,SSL,4,Phishing
377,6115,1.5,0,10,21,Other,TCP,Domestic,SSL,0,Normal
432,868,16.7,2,14,23,HTTP,UDP,Asia,TLS,44,DoS
14521,1234,2.4,5,17,16,HTTP,UDP,Domestic,TLS,0,DoS
58,6815,8.7,0,10,10,RDP,TCP,Other,SSL,0,Normal
4261,127,4.4,2,11,6,HTTP,ICMP,Other,None,38,DoS
3587,64279,155.6,1,3,18,HTTPS,TCP,Other,SSL,14,Phishing
3427,3921,132.5,2,10,3,HTTPS,TCP,EU,None,0,Normal
421,9130,61.2,1,13,19,HTTP,ICMP,EU,None,0,Normal
1086,880,5.9,3,14,11,SSH,TCP,Domestic,SSL,5,Brute_Force
2168,194,9.5,3,10,19,SSH,TCP,Domestic,TLS,5,Brute_Force
1025,933,3.3,0,6,14,SSH,UDP,Asia,SSL,0,Normal
2885,3076,19.1,2,10,16,HTTPS,UDP,Domestic,TLS,0,Normal
2411,846,52.2,2,7,12,HTTPS,TCP,Asia,TLS,1,Normal
1056,9368,49.3,1,7,1,HTTPS,ICMP,Asia,TLS,0,Normal
2129,7946,127.2,1,11,13,HTTPS,TCP,Other,TLS,0,Normal
16476,29982,91.2,2,3,8,HTTP,TCP,EU,TLS,18,Phishing
374,54712,36.6,2,9,16,HTTP,TCP,EU,SSL,0,Phishing
898,274,48.2,4,10,1,SSH,TCP,EU,TLS,9,Brute_Force
113,3797,80.9,2,11,4,HTTPS,TCP,Asia,TLS,0,Normal
3939,1729,16.3,0,5,14,Other,TCP,Asia,TLS,0,Normal
3653,26038,39.2,3,14,16,HTTPS,TCP,Domestic,TLS,0,Normal
5946,1879,56.9,1,9,23,RDP,TCP,Domestic,TLS,0,Normal
2160,1183,56.8,5,12,4,SSH,UDP,Other,SSL,0,Ransomware
1094,2927,84.0,2,10,14,SSH,TCP,Domestic,TLS,0,Normal
4709,13488,1.8,2,9,19,Other,TCP,Domestic,TLS,0,Normal
1241,8166,32.2,1,4,5,HTTPS,UDP,Other,TLS,0,Normal
26399,1887,80.0,1,6,23,HTTP,TCP,EU,TLS,0,Normal
2186,858,34.5,0,13,10,HTTPS,TCP,EU,SSL,0,Normal
4830,10270,135.4,0,11,15,HTTP,TCP,Domestic,SSL,0,Normal
814,443,47.6,2,15,20,RDP,TCP,Asia,SSL,5,Brute_Force
3272,7647,29.8,1,10,12,RDP,TCP,Domestic,SSL,0,Normal
3027,4599,22.2,2,6,3,HTTPS,UDP,Domestic,SSL,0,Normal
1060,12409,95.0,1,4,9,Other,TCP,EU,TLS,0,Normal
469,431,55.7,0,7,4,HTTP,TCP,Domestic,None,0,Normal
21427,1595,1.7,4,21,16,HTTPS,TCP,Domestic,None,61,DoS
5063,1616,63.0,1,6,3,SSH,ICMP,Domestic,SSL,0,Normal
21,306,27.2,2,9,18,HTTP,UDP,Domestic,TLS,0,Normal
471,2508,110.6,1,6,0,HTTPS,TCP,EU,None,0,Normal
1811,37115,26.0,2,2,16,HTTPS,TCP,Asia,TLS,0,Phishing
2748,837,44.2,0,6,20,HTTPS,TCP,EU,SSL,0,Normal
1427,1286,29.2,1,3,19,HTTPS,TCP,Domestic,SSL,0,Normal
8843,200,1.7,2,20,19,Other,UDP,EU,None,11,DoS
7469,674,56.9,1,5,22,HTTPS,TCP,Asia,TLS,0,Normal
2420,106,117.3,5,9,14,HTTPS,TCP,Domestic,TLS,0,Normal
41798,17854,2.2,3,9,9,SSH,TCP,Asia,TLS,11,Ransomware
322,1632,34.4,1,9,23,HTTPS,ICMP,Domestic,None,0,Normal
21385,23575,11.9,2,6,11,Other,TCP,Domestic,TLS,12,Phishing
6263,64766,12.6,0,2,15,HTTPS,TCP,Other,TLS,10,Phishing
3743,2970,63.7,1,6,0,HTTP,UDP,Asia,SSL,0,Normal
1484,8164,28.0,0,9,19,HTTPS,TCP,Other,SSL,0,Normal
1631,5827,71.7,1,13,14,Other,TCP,Domestic,SSL,0,Normal
550,100,29.4,2,13,12,Other,TCP,EU,TLS,11,Brute_Force
56,7852,6.2,0,8,11,Other,TCP,Domestic,SSL,0,Normal
5184,218,15.8,1,14,11,Other,UDP,Domestic,SSL,23,DoS
189,3149,55.8,1,4,12,HTTPS,TCP,Domestic,TLS,0,Normal
504,1728,31.1,1,13,3,Other,TCP,Domestic,SSL,0,Normal
2379,9240,0.7,2,8,18,HTTPS,UDP,Domestic,SSL,0,Normal
41025,1281,4.8,3,18,23,RDP,UDP,Domestic,None,31,DoS
519,12292,22.1,1,3,22,Other,TCP,Asia,TLS,0,Normal
480,8769,123.5,1,9,2,HTTPS,TCP,Domestic,SSL,0,Normal
5187,437,3.7,3,15,6,HTTPS,ICMP,Asia,None,39,DoS
748,5586,109.1,0,6,12,HTTP,UDP,EU,None,0,Normal
1308,4281,2.4,1,4,5,HTTP,TCP,Other,SSL,0,Normal
9826,851,42.5,0,5,22,Other,UDP,Domestic,TLS,0,Normal
967,8,24.0,3,10,0,SSH,TCP,EU,TLS,4,Brute_Force
4701,570,11.3,1,5,18,Other,UDP,EU,SSL,0,Normal
1103,10506,3.5,1,5,14,SSH,TCP,Asia,SSL,0,Normal
1234,9646,12.7,0,7,16,Other,UDP,Domestic,TLS,0,Normal
6125,1095,0.4,2,22,10,HTTP,TCP,Domestic,TLS,0,DoS
928,2703,27.9,2,7,3,HTTP,TCP,EU,SSL,0,Normal
3754,255,0.9,2,20,1,HTTP,TCP,Domestic,None,44,DoS
359,36013,65.8,1,4,19,HTTPS,TCP,EU,SSL,15,Phishing
283,4183,37.0,0,5,10,HTTPS,TCP,EU,None,13,Phishing
21280,373,5.2,5,18,11,Other,UDP,Domestic,TLS,27,DoS
5765,18315,27.5,4,8,7,HTTPS,TCP,Domestic,TLS,0,Normal
4775,1722,18.7,0,12,14,Other,TCP,EU,None,1,Normal
3507,3,3.5,1,15,12,Other,TCP,Domestic,None,15,DoS
52085,5698,1.7,1,10,16,RDP,TCP,Other,TLS,12,Ransomware
4220,289,0.1,0,10,3,HTTP,TCP,Domestic,TLS,0,Normal
1787,111827,12.8,1,0,14,RDP,TCP,Asia,TLS,6,Phishing
1564,4678,57.2,0,10,16,Other,TCP,Domestic,SSL,0,Normal
4153,10278,0.4,0,10,18,HTTP,TCP,Domestic,TLS,0,Normal
71,1181,52.4,2,3,2,HTTPS,TCP,Asia,SSL,0,Normal
172,797,29.1,0,4,9,HTTPS,TCP,Domestic,SSL,0,Normal
7859,31494,28.1,1,3,11,HTTP,TCP,EU,SSL,13,Phishing
9122,3925,491.2,2,6,15,SSH,TCP,Domestic,None,13,Ransomware
5667,4090,78.4,2,4,15,HTTPS,TCP,EU,None,24,Phishing
834,268,12.9,4,11,5,RDP,TCP,EU,SSL,2,Brute_Force
2068,5420,12.3,1,12,22,HTTPS,UDP,Asia,None,0,Normal
34389,147,3.3,1,26,21,SSH,TCP,Asia,None,16,DoS
7918,2068,113.4,1,12,0,HTTP,UDP,Asia,TLS,0,Normal
717,974,6.8,1,12,5,HTTP,UDP,EU,SSL,0,Normal
4041,8647,16.7,0,14,16,Other,TCP,Domestic,TLS,0,Normal
15001,10681,14.6,1,8,11,Other,TCP,EU,SSL,2,Normal
665,443,48.9,3,14,2,RDP,TCP,Asia,None,16,Brute_Force
441,221,18.6,8,9,23,HTTP,TCP,Domestic,SSL,7,Brute_Force
954,422,11.2,6,16,9,RDP,TCP,Asia,TLS,9,Brute_Force
5433,9175,79.0,1,10,10,HTTP,TCP,Domestic,TLS,0,Normal
41,985,40.5,2,12,22,Other,TCP,EU,SSL,0,Brute_Force
585,1679,38.2,1,9,21,HTTPS,TCP,Asia,TLS,0,Normal
1883,3184,84.1,2,5,21,HTTP,UDP,Domestic,TLS,0,Normal
3842,5510,55.9,2,10,13,HTTPS,TCP,Domestic,SSL,0,Normal
525,5664,6.7,0,8,17,HTTPS,UDP,Domestic,SSL,0,Normal
703,458,52.5,0,5,16,HTTPS,TCP,Domestic,SSL,0,Normal
1663,26935,3.5,3,5,4,RDP,TCP,Other,None,18,Ransomware
2212,16047,5.0,2,15,19,Other,TCP,Domestic,SSL,0,Normal
2958,305,6.2,4,10,9,SSH,TCP,EU,TLS,10,Brute_Force
487,121,27.0,4,10,11,SSH,TCP,Domestic,TLS,5,Brute_Force
5346,13100,52.8,0,10,23,HTTP,TCP,Domestic,None,0,Normal
800,2172,2.8,3,9,3,HTTP,TCP,Domestic,TLS,0,Normal
12083,6537,549.7,2,8,10,Other,TCP,Other,None,16,Ransomware
8788,1535,208.1,4,9,1,SSH,TCP,Other,None,14,Ransomware
345,8397,249.2,1,5,9,HTTP,TCP,Asia,SSL,16,Phishing
18528,205,1.7,3,22,20,Other,UDP,Other,TLS,32,DoS
1333,4134,75.1,2,8,17,HTTP,TCP,Asia,None,0,Normal
1214,1181,20.7,2,5,11,HTTP,TCP,Domestic,None,0,Normal
4855,239,4.2,1,13,22,HTTPS,UDP,Other,None,0,DoS
482,762,5.0,2,11,0,SSH,TCP,Asia,SSL,2,Brute_Force
4028,8041,8.5,1,8,22,SSH,TCP,Domestic,TLS,0,Normal
273,1196,119.0,0,5,7,HTTPS,TCP,Asia,TLS,1,Normal
178,11446,47.0,1,5,14,HTTPS,TCP,Domestic,SSL,11,Phishing
3009,9407,39.0,3,9,7,HTTPS,TCP,Domestic,TLS,0,Normal
34723,1118,4.3,2,21,9,Other,UDP,Asia,None,31,DoS
1470,5934,15.9,1,6,16,HTTPS,TCP,Asia,SSL,0,Normal
1601,8490,94.0,1,9,22,HTTP,TCP,Domestic,SSL,0,Normal
631,4608,1.3,0,3,0,SSH,UDP,EU,None,0,Normal
291,6921,80.0,2,6,6,HTTP,TCP,Asia,TLS,0,Normal
