source,target
65981,18130
65981,19082
65981,19175
65981,19359
65981,20401
65981,20454
65981,20896
65981,21364
65981,21604
65981,21870
65981,22047
65981,22333
65981,22439
65981,22580
65981,22879
65981,22938
65981,23399
65981,23507
65981,23778
65981,24140
65981,24520
65981,24676
65981,24767
65981,24784
65981,24814
65981,25127
65981,25762
65981,26023
65981,26768
65981,26839
65981,27014
65981,27887
65981,28316
65981,28337
65981,29272
65981,29403
65981,30021
65981,30523
65981,31256
65981,31524
65981,31693
65981,31796
65981,32197
65981,32466
65981,32703
65981,33242
65981,34025
65981,35390
65981,35803
65981,35900
65981,36248
65981,36484
65981,36706
65981,36868
65981,36914
65981,37231
65981,37418
65981,37924
65981,39491
65981,39622
65981,39798
65981,41238
65981,41438
65981,41635
65981,41986
65981,42314
65981,42721
65981,43066
65981,43149
65981,43342
65981,43962
65981,44313
65981,45131
65981,46422
65981,46538
65981,48085
65981,48877
65981,49904
65981,50852
65981,50976
65981,51015
65981,51394
65981,52073
65981,53062
65981,53697
65981,54025
65981,54859
65981,55232
65981,55807
65981,56291
65981,56835
65981,58687
65981,59311
65981,59514
65981,60881
65981,61183
65981,61209
65981,61504
65981,61784
65981,62276
65981,62311
65981,63102
65981,63301
65981,63416
65981,63736
65981,63971
65981,64298
65981,64384
65981,65212
65981,65520
65981,65981
65981,66425
65981,66867
65981,67265
65981,67412
65981,67491
65981,67863
65981,68626
65981,69440
65981,69982
65981,70800
65981,71650
65981,71975
65981,72106
65981,72145
65981,72299
65981,72809
65981,73074
65981,73799
65981,74044
65981,75071
65981,75685
65981,75917
65981,76265
65981,76715
65981,76946
65981,77471
65981,77909
65981,78352
65981,78427
65981,78545
65981,79254
65981,80010
65981,80039
65981,80385
65981,80555
65981,80982
65981,81110
65981,81897
65981,82136
65981,82633
65981,82695
65981,82832
65981,83420
65981,83655
65981,84739
65981,84912
65981,85637
65981,85980
65981,86590
65981,86657
65981,86701
65981,86929
65981,87180
65981,87299
65981,87615
65981,88114
65981,88125
65981,88291
65981,88404
65981,88451
65981,89099
65981,89157
65981,89308
65981,89353
65981,89371
65981,90112
65981,90477
65981,90655
65981,91696
65981,91905
65981,92846
65981,92888
65981,93769
65981,93863
65981,93948
65981,94026
65981,94239
65981,94402
65981,94487
65981,95262
65981,95335
65981,96191
65981,96519
65981,96691
65981,96794
65981,97038
65981,97168
65981,99031
65981,99054
65981,99209
65981,99632
65981,99678
65981,99840
65981,100122
65981,100507
65981,100718
65981,100905
65981,101104
65981,102569
65981,103325
65981,103791
65981,103922
65981,105703
65981,105943
65981,106164
65981,107287
65981,107960
65981,107981
65981,108000
65981,108324
65981,108421
65981,108898
65981,109698
65981,109871
65981,110597
65981,111389
65981,111972
65981,112074
65981,112313
65981,113469
65981,113857
65981,113910
65981,114790
65981,115205
65981,115440
65981,115843
65981,117157
65981,117538
65981,118035
65981,118166
65981,119025
65981,119079
65981,119918
65981,120440
65981,120489
65981,120704
65981,121010
65981,121522
65981,121882
65981,122196
65981,123030
65981,123740
65981,124142
65981,124284
65981,124293
65981,124347
65981,125082
65981,125117
65981,125286
65981,125316
65981,125435
65981,125502
65981,125662
65981,125748
65981,125796
65981,125877
65981,126064
65981,126543
65981,126787
65981,127270
65981,128128
65981,128134
65981,128268
65981,128607
65981,129769
65981,129882
65981,130383
65981,130457
65981,130768
65981,130796
65981,131757
65981,132561
65981,133003
65981,133809
65981,134203
65981,135173
65981,135433
65981,135998
65981,136317
65981,136759
65981,137022
65981,137323
65981,138153
65981,139446
65981,139587
65981,139750
65981,140281
65981,140872
65981,141190
65981,141789
65981,142506
65981,142590
65981,143009
131518,107170
131518,131518
98751,98751
98752,98752
65983,65983
450,450
450,2041
450,141754
450,141768
450,141773
450,141844
450,141896
450,141949
450,142304
450,142329
450,142644
447,447
447,35987
98756,98756
131525,131525
98753,98753
98753,142200
455,455
455,8833
455,24556
455,141754
455,141773
455,142252
131529,131529
33225,33225
460,460
460,86479
460,142282
131532,51601
131532,131532
462,462
462,141935
462,142002
462,142163
66002,66002
66002,141868
98771,98771
98772,87616
98772,98772
33236,33236
33236,141754
33236,141773
33242,30528
33242,33242
33242,141754
33242,141791
33242,142187
33242,142202
66010,66010
98780,24556
98780,98780
131549,131549
480,480
480,2041
480,7860
480,8115
480,8833
480,13586
480,18362
480,21178
480,32742
480,54681
480,70792
480,108850
480,122158
480,135478
480,141739
480,141740
480,141754
480,141764
480,141768
480,141773
480,141777
480,141817
480,141844
480,141863
480,141896
480,141935
480,141944
480,141949
480,142200
480,142264
480,142311
480,142329
480,142624
480,142662
480,142727
33249,33249
131552,131552
33254,33254
33254,77026
33254,141746
33254,142624
98791,17702
98791,98791
98792,35954
98792,98792
131561,87616
131561,131561
33258,33258
33258,86479
131563,131563
33260,33260
33260,86479
33261,33261
33262,33262
33262,135478
33262,141773
33262,141844
131567,131567
131564,131564
66037,66037
66037,141764
131574,131574
33273,33273
33273,141983
98812,98812
33277,33277
33277,141764
131582,131582
98814,98814
98816,98816
33280,8833
33280,33280
33284,33284
66055,66055
519,519
519,141764
519,142163
521,521
521,141754
521,141773
521,141817
521,141841
521,142264
98828,98828
98830,98830
98830,142002
131599,131599
131601,131601
98833,98833
131603,131603
33300,33300
66072,66072
98841,98841
66074,66074
66074,142192
33307,33307
131616,131616
131616,141949
545,545
545,76824
547,547
547,61525
547,76824
547,87616
66083,66083
98854,98854
33318,33318
98856,98856
131624,131624
66090,66090
556,556
556,2041
556,12590
556,13586
556,21450
556,26569
556,27592
556,108850
556,122158
556,135478
556,141739
556,141754
556,141755
556,141764
556,141770
556,141773
556,141777
556,141791
556,141823
556,141841
556,141868
556,141896
556,141932
556,141935
556,141944
556,142002
556,142003
556,142030
556,142105
556,142109
556,142163
556,142181
556,142192
556,142222
556,142286
556,142366
556,142392
556,142399
556,142644
557,557
557,141764
557,141949
98861,98861
33330,33330
33330,60032
33330,142075
131636,86479
131636,131636
131641,131641
131642,131642
98878,98878
575,575
575,31212
575,141754
575,141936
575,142002
575,142214
575,142286
98880,98880
66111,66111
98881,98881
131652,131652
581,581
33350,33350
33350,60032
585,585
585,142311
585,142312
585,142698
33353,33353
33353,141773
33353,142181
98890,98890
66124,66124
98893,98893
66126,66126
98891,98891
98897,98897
33362,33362
33362,141868
33362,142549
33363,33363
131668,131668
98901,98901
595,595
595,102804
595,141932
595,142105
595,142200
98903,98903
98903,142202
599,599
599,76824
599,142034
600,600
98906,98906
98906,141844
66139,66139
131678,131678
131678,141817
131687,131687
98919,98919
131689,107170
131689,131689
66154,66154
131691,131691
33385,33385
622,622
131696,131696
98930,98930
98930,141764
33400,33400
33400,141764
33401,33401
33401,141740
33401,141764
131704,51601
131704,131704
98937,98937
33404,33404
33404,42931
33404,141764
33404,142002
66173,66173
66173,141841
98941,98941
98943,98943
131712,42931
131712,131712
33409,33409
33408,33408
33408,141754
33416,33416
33417,26569
33417,33417
33417,85571
33417,141823
98954,98954
651,651
651,13586
651,51601
651,77026
651,141896
651,141935
131724,51601
131724,131724
653,653
33420,33420
33420,141791
98959,98959
66188,66188
33426,33426
660,660
660,51601
131734,131734
66199,66199
664,664
664,61525
664,141754
131736,51601
131736,131736
666,666
666,86479
33435,8115
33435,33435
33435,51601
33434,33434
66205,24556
66205,66205
131741,131741
131743,131743
33439,33439
98975,98975
131739,131739
66212,61525
66212,66212
98981,98981
98983,60032
98983,98983
131753,131753
98985,98985
98987,77026
98987,98987
98987,141764
131756,35954
131756,131756
33453,17702
33453,24556
33453,33453
33453,42931
131757,24556
131757,107170
131757,131757
686,686
686,21450
686,26569
686,50646
686,108850
686,141739
686,141844
686,141896
686,141907
686,141936
686,141949
686,142071
686,142279
686,142311
686,142685
686,142807
686,142812
33456,33456
687,687
687,141740
66226,66226
66223,66223
66228,66228
131770,131770
99003,99003
33466,33466
701,701
701,86479
66237,66237
33472,17702
33472,33472
33472,141791
33472,141959
99013,99013
66246,66246
131782,131782
715,715
715,141764
716,716
716,141754
716,141773
716,142096
716,142149
716,142200
131789,131789
131788,131788
66257,51601
66257,66257
131798,131798
99031,50646
99031,99031
99031,135478
99031,141764
99032,99032
131801,131801
131801,141739
66264,66264
732,732
732,12590
732,23110
732,27592
732,51601
732,54681
732,88521
732,108850
732,122158
732,141739
732,141740
732,141746
732,141754
732,141755
732,141764
732,141768
732,141770
732,141773
732,141777
732,141791
732,141816
732,141817
732,141841
732,141848
732,141868
732,141874
732,141896
732,141932
732,141935
732,141936
732,141944
732,141949
732,141959
732,142002
732,142003
732,142022
732,142030
732,142049
732,142060
732,142096
732,142109
732,142147
732,142149
732,142159
732,142163
732,142176
732,142184
732,142186
732,142200
732,142203
732,142214
732,142222
732,142237
732,142252
732,142286
732,142287
732,142291
732,142354
732,142355
732,142358
732,142366
732,142389
732,142392
732,142399
732,142445
732,142468
732,142470
732,142496
732,142524
732,142571
732,142624
732,142644
732,142660
732,142678
732,142697
732,142718
732,142719
732,142736
732,142774
732,142775
732,142779
732,142784
732,142785
732,142807
732,142814
732,142893
732,142906
732,142928
732,142998
131808,131808
131809,131809
99041,99041
66276,66276
741,741
741,24556
741,142725
99044,99044
131815,60032
131815,131815
33509,33509
33509,142002
33513,33513
33513,76824
131820,131820
748,748
748,141817
748,141868
748,141956
748,142105
99054,77026
99054,99054
66287,66287
66287,142366
66286,66286
754,754
754,60032
66292,66292
33526,33526
759,759
759,35954
759,77026
759,122158
759,141777
759,141817
759,142109
760,760
760,141817
99064,99064
99064,141848
99064,142354
99066,99066
131834,131834
99068,99068
99069,99069
768,768
768,142192
66305,66305
33537,33537
33537,51601
33537,141932
99076,99076
131845,131845
99081,99081
66314,66314
33547,33547
33547,76824
131852,131852
66317,66317
66322,66322
66322,141936
99093,99093
790,790
790,24556
790,61525
790,87616
790,122158
790,141754
790,141770
790,141777
790,142358
790,142718
131863,131863
66328,66328
99095,99095
99096,99096
33564,33564
33565,33565
66334,66334
66334,142496
131871,131871
99104,99104
808,808
808,8115
808,8833
808,13586
808,135478
808,141740
808,141746
808,141764
808,141770
808,141817
808,141844
808,141848
808,141874
808,141935
808,142002
808,142003
808,142095
808,142186
808,142329
808,142399
808,142571
808,142719
808,142786
131880,131880
66344,66344
66344,142719
33576,33576
33576,141907
131884,131884
66349,66349
131889,131889
818,818
33587,33587
33587,107170
33587,142030
819,819
819,2041
819,4590
819,8115
819,12590
819,13586
819,18362
819,26569
819,30528
819,31212
819,54681
819,56658
819,85571
819,97626
819,135478
819,141740
819,141746
819,141764
819,141768
819,141770
819,141777
819,141789
819,141811
819,141823
819,141841
819,141844
819,141863
819,141896
819,141900
819,141907
819,141935
819,141936
819,141944
819,141949
819,141959
819,142002
819,142003
819,142030
819,142075
819,142096
819,142105
819,142109
819,142120
819,142147
819,142149
819,142159
819,142163
819,142181
819,142192
819,142200
819,142202
819,142210
819,142214
819,142252
819,142264
819,142279
819,142282
819,142287
819,142291
819,142329
819,142333
819,142355
819,142357
819,142399
819,142445
819,142511
819,142549
819,142571
819,142628
819,142666
819,142678
819,142714
819,142765
33589,33589
33589,141936
131893,131893
823,823
823,13586
823,26569
823,122158
823,141746
823,141754
823,141768
823,141770
823,141773
823,141777
823,141791
823,141817
823,141863
823,141868
823,141874
823,141896
823,141900
823,141932
823,141935
823,141944
823,141956
823,142002
823,142022
823,142030
823,142060
823,142096
823,142149
823,142163
823,142186
823,142203
823,142210
823,142222
823,142237
823,142392
823,142765
823,142893
131896,131896
99129,99129
33594,33594
824,824
824,141907
824,142214
826,826
826,8115
826,50646
826,141739
826,141754
826,141773
826,141777
826,141789
826,141817
826,141844
826,142071
826,142186
826,142329
99132,99132
832,832
832,51601
131906,131906
838,838
838,8115
838,13586
838,141754
838,141773
838,141817
838,141844
838,141949
838,142279
99143,51601
99143,99143
66378,31212
66378,66378
66379,51601
66379,66379
66379,141936
848,848
848,2041
848,8833
848,141740
848,141754
848,141768
848,141773
848,141844
848,141949
33620,33620
33620,107170
66389,66389
99157,99157
856,856
856,141773
856,141817
856,141841
856,141848
856,141896
856,141907
856,141932
856,141944
856,141949
856,142002
856,142163
131930,131930
131931,51601
131931,131931
99167,61525
99167,99167
99167,141754
863,863
863,2041
863,8115
863,13586
863,135478
863,141754
863,141773
863,141817
863,141844
863,141896
863,142210
863,142279
863,142329
863,142511
66401,66401
866,866
866,141754
99172,99172
869,869
131941,131941
131941,142286
66408,66408
875,875
131948,107170
131948,131948
174,174
174,141754
174,141935
174,142214
99182,99182
33648,33648
33648,51601
66420,66420
33652,33652
886,886
886,141896
33654,33654
33654,141817
66424,66424
66425,66425
99193,99193
99193,141935
99193,142252
891,891
891,21376
891,87870
891,141739
891,141754
891,141764
891,141816
891,141817
891,141935
891,141956
891,141959
891,142210
891,142222
891,142237
891,142399
891,142496
891,142502
891,142718
893,893
893,2041
893,141868
893,141896
33665,33665
33665,42931
131972,131972
131972,142163
99205,99205
902,902
902,141868
902,141959
66439,66439
99204,99204
905,905
905,86479
905,141754
905,142567
99209,99209
131981,131981
916,916
916,12590
916,108850
916,122158
916,141764
916,141777
916,141848
916,141900
916,141932
916,141935
916,141944
916,141983
916,142002
916,142105
916,142163
916,142291
916,142445
916,142689
131993,131993
131993,142496
66459,66459
66459,142159
926,926
926,17702
99231,99231
928,928
928,13586
928,17702
928,24556
928,26569
928,42931
928,54681
928,77026
928,102804
928,122158
928,141739
928,141740
928,141754
928,141764
928,141768
928,141777
928,141817
928,141841
928,141896
928,141932
928,141935
928,141944
928,141949
928,141956
928,142096
928,142105
928,142149
928,142163
928,142184
928,142200
928,142287
33694,33694
132002,132002
66467,42931
66467,66467
66467,122158
932,932
132006,51601
132006,132006
99239,51601
99239,99239
132008,86479
132008,132008
33705,33705
33706,17702
33706,33706
33706,107170
33707,33707
33707,142210
99247,24556
99247,77026
99247,99247
99247,141740
132016,132016
99249,99249
948,948
99253,99253
951,951
951,8115
951,108850
951,141754
951,141773
951,141844
951,141896
951,142714
66491,66491
66491,141841
66491,142181
33723,33723
99260,99260
33725,33725
66497,51601
66497,66497
132036,132036
965,965
99270,99270
66500,66500
66504,66504
66505,66505
66505,142096
66505,142714
132041,132041
132042,132042
66508,66508
66509,35954
66509,60032
66509,66509
66509,141935
66507,66507
132047,132047
66511,66511
66516,66516
66516,141868
33749,33749
